,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),Number of Gears
0,ACURA,ILX,COMPACT,2.0,4,AS,Z,9.9,6.7,8.5,196,5.0
1,ACURA,ILX,COMPACT,2.4,4,M,Z,11.2,7.7,9.6,221,6.0
2,ACURA,ILX HYBRID,COMPACT,1.5,4,AV,Z,6.0,5.8,5.9,136,7.0
3,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS,Z,12.7,9.1,11.1,255,6.0
4,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS,Z,12.1,8.7,10.6,244,6.0
5,ACURA,RLX,MID-SIZE,3.5,6,AS,Z,11.9,7.7,10.0,230,6.0
6,ACURA,TL,MID-SIZE,3.5,6,AS,Z,11.8,8.1,10.1,232,6.0
7,ACURA,TL AWD,MID-SIZE,3.7,6,AS,Z,12.8,9.0,11.1,255,6.0
8,ACURA,TL AWD,MID-SIZE,3.7,6,M,Z,13.4,9.5,11.6,267,6.0
9,ACURA,TSX,COMPACT,2.4,4,AS,Z,10.6,7.5,9.2,212,5.0
10,ACURA,TSX,COMPACT,2.4,4,M,Z,11.2,8.1,9.8,225,6.0
11,ACURA,TSX,COMPACT,3.5,6,AS,Z,12.1,8.3,10.4,239,5.0
12,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM,Z,9.7,6.9,8.4,193,6.0
13,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A,Z,18.0,12.6,15.6,359,6.0
14,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A,Z,18.0,12.6,15.6,359,6.0
15,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM,Z,17.4,11.3,14.7,338,7.0
16,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,354,6.0
17,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM,Z,17.4,11.3,14.7,338,7.0
18,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,354,6.0
19,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A,Z,18.0,12.6,15.6,359,6.0
20,AUDI,A4,COMPACT,2.0,4,AV,Z,9.9,7.4,8.8,202,8.0
21,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS,Z,11.5,8.1,10.0,230,8.0
22,AUDI,A4 QUATTRO,COMPACT,2.0,4,M,Z,10.8,7.5,9.3,214,6.0
23,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS,Z,11.5,8.1,10.0,230,8.0
24,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS,Z,11.5,8.1,10.0,230,8.0
25,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M,Z,10.8,7.5,9.3,214,6.0
26,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS,Z,12.0,8.1,10.2,235,8.0
27,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS,Z,12.8,8.6,10.9,251,8.0
28,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.2,8.1,217,8.0
29,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS,Z,13.3,8.5,11.2,262,8.0
30,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.2,8.1,217,8.0
31,AUDI,A8,MID-SIZE,3.0,6,AS,Z,13.1,8.8,11.2,258,8.0
32,AUDI,A8,MID-SIZE,4.0,8,AS,Z,13.7,8.3,11.3,265,8.0
33,AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.5,8.4,224,8.0
34,AUDI,A8L,FULL-SIZE,3.0,6,AS,Z,13.1,8.8,11.2,258,8.0
35,AUDI,A8L,FULL-SIZE,4.0,8,AS,Z,14.7,9.7,12.5,288,8.0
36,AUDI,A8L,FULL-SIZE,6.3,12,AS,Z,18.7,11.5,15.5,363,8.0
37,AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS,D,9.8,6.5,8.4,224,8.0
38,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS,Z,11.8,8.8,10.5,242,8.0
39,AUDI,Q5,SUV - SMALL,2.0,4,AS,Z,12.0,8.5,10.4,239,8.0
40,AUDI,Q5,SUV - SMALL,3.0,6,AS,Z,12.9,9.2,11.2,258,8.0
41,AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS,D,10.2,7.8,9.0,244,8.0
42,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS,Z,9.9,8.3,9.2,212,8.0
43,AUDI,Q7,SUV - STANDARD,3.0,6,AS,Z,15.1,10.9,13.2,304,8.0
44,AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS,D,12.4,8.7,10.7,290,8.0
45,AUDI,R8,TWO-SEATER,4.2,8,A,Z,17.6,11.0,14.6,336,7.0
47,AUDI,R8,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,347,7.0
49,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A,Z,17.6,11.0,14.6,336,7.0
51,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,347,7.0
53,AUDI,RS 5,SUBCOMPACT,4.2,8,A,Z,15.3,10.9,13.3,306,7.0
54,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A,Z,15.2,11.3,13.4,308,7.0
55,AUDI,RS 7,MID-SIZE,4.0,8,AS,Z,15.5,8.8,12.5,293,8.0
56,AUDI,S4,COMPACT,3.0,6,A,Z,13.2,9.2,11.4,262,7.0
57,AUDI,S4,COMPACT,3.0,6,M,Z,14.6,9.8,12.4,285,6.0
58,AUDI,S5,SUBCOMPACT,3.0,6,A,Z,13.2,9.2,11.4,262,7.0
59,AUDI,S5,SUBCOMPACT,3.0,6,M,Z,14.6,9.8,12.4,285,6.0
60,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A,Z,13.3,9.5,11.6,267,7.0
61,AUDI,S6,MID-SIZE,4.0,8,A,Z,14.2,9.7,12.2,281,7.0
62,AUDI,S7,MID-SIZE,4.0,8,A,Z,14.2,9.7,12.2,281,7.0
63,AUDI,S8,MID-SIZE,4.0,8,AS,Z,15.8,9.2,12.8,300,8.0
64,AUDI,SQ5,SUV - SMALL,3.0,6,AS,Z,14.9,10.1,12.7,292,8.0
65,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A,Z,10.4,7.6,9.1,209,6.0
