,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),Number of Gears
0,ACURA,ILX,COMPACT,2.0,4,AS,Z,9.9,6.7,8.5,196,5
1,ACURA,ILX,COMPACT,2.4,4,M,Z,11.2,7.7,9.6,221,6
2,ACURA,ILX HYBRID,COMPACT,1.5,4,AV,Z,6.0,5.8,5.9,136,7
3,ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS,Z,12.7,9.1,11.1,255,6
4,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS,Z,12.1,8.7,10.6,244,6
5,ACURA,RLX,MID-SIZE,3.5,6,AS,Z,11.9,7.7,10.0,230,6
6,ACURA,TL,MID-SIZE,3.5,6,AS,Z,11.8,8.1,10.1,232,6
7,ACURA,TL AWD,MID-SIZE,3.7,6,AS,Z,12.8,9.0,11.1,255,6
8,ACURA,TL AWD,MID-SIZE,3.7,6,M,Z,13.4,9.5,11.6,267,6
9,ACURA,TSX,COMPACT,2.4,4,AS,Z,10.6,7.5,9.2,212,5
10,ACURA,TSX,COMPACT,2.4,4,M,Z,11.2,8.1,9.8,225,6
11,ACURA,TSX,COMPACT,3.5,6,AS,Z,12.1,8.3,10.4,239,5
12,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM,Z,9.7,6.9,8.4,193,6
13,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A,Z,18.0,12.6,15.6,359,6
14,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A,Z,18.0,12.6,15.6,359,6
15,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM,Z,17.4,11.3,14.7,338,7
16,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,354,6
17,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM,Z,17.4,11.3,14.7,338,7
18,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,354,6
19,ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A,Z,18.0,12.6,15.6,359,6
20,AUDI,A4,COMPACT,2.0,4,AV,Z,9.9,7.4,8.8,202,8
21,AUDI,A4 QUATTRO,COMPACT,2.0,4,AS,Z,11.5,8.1,10.0,230,8
22,AUDI,A4 QUATTRO,COMPACT,2.0,4,M,Z,10.8,7.5,9.3,214,6
23,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS,Z,11.5,8.1,10.0,230,8
24,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS,Z,11.5,8.1,10.0,230,8
25,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M,Z,10.8,7.5,9.3,214,6
26,AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS,Z,12.0,8.1,10.2,235,8
27,AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS,Z,12.8,8.6,10.9,251,8
28,AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.2,8.1,217,8
29,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS,Z,13.3,8.5,11.2,262,8
30,AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.2,8.1,217,8
31,AUDI,A8,MID-SIZE,3.0,6,AS,Z,13.1,8.8,11.2,258,8
32,AUDI,A8,MID-SIZE,4.0,8,AS,Z,13.7,8.3,11.3,265,8
33,AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.5,8.4,224,8
34,AUDI,A8L,FULL-SIZE,3.0,6,AS,Z,13.1,8.8,11.2,258,8
35,AUDI,A8L,FULL-SIZE,4.0,8,AS,Z,14.7,9.7,12.5,288,8
36,AUDI,A8L,FULL-SIZE,6.3,12,AS,Z,18.7,11.5,15.5,363,8
37,AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS,D,9.8,6.5,8.4,224,8
38,AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS,Z,11.8,8.8,10.5,242,8
39,AUDI,Q5,SUV - SMALL,2.0,4,AS,Z,12.0,8.5,10.4,239,8
40,AUDI,Q5,SUV - SMALL,3.0,6,AS,Z,12.9,9.2,11.2,258,8
41,AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS,D,10.2,7.8,9.0,244,8
42,AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS,Z,9.9,8.3,9.2,212,8
43,AUDI,Q7,SUV - STANDARD,3.0,6,AS,Z,15.1,10.9,13.2,304,8
44,AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS,D,12.4,8.7,10.7,290,8
45,AUDI,R8,TWO-SEATER,4.2,8,A,Z,17.6,11.0,14.6,336,7
46,AUDI,R8,TWO-SEATER,4.2,8,M,Z,21.2,13.4,17.7,407,6
47,AUDI,R8,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,347,7
48,AUDI,R8,TWO-SEATER,5.2,10,M,Z,21.1,13.8,17.8,409,6
49,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A,Z,17.6,11.0,14.6,336,7
50,AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M,Z,21.2,13.4,17.7,407,6
51,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,347,7
52,AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M,Z,21.1,13.8,17.8,409,6
53,AUDI,RS 5,SUBCOMPACT,4.2,8,A,Z,15.3,10.9,13.3,306,7
54,AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A,Z,15.2,11.3,13.4,308,7
55,AUDI,RS 7,MID-SIZE,4.0,8,AS,Z,15.5,8.8,12.5,293,8
56,AUDI,S4,COMPACT,3.0,6,A,Z,13.2,9.2,11.4,262,7
57,AUDI,S4,COMPACT,3.0,6,M,Z,14.6,9.8,12.4,285,6
58,AUDI,S5,SUBCOMPACT,3.0,6,A,Z,13.2,9.2,11.4,262,7
59,AUDI,S5,SUBCOMPACT,3.0,6,M,Z,14.6,9.8,12.4,285,6
60,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A,Z,13.3,9.5,11.6,267,7
61,AUDI,S6,MID-SIZE,4.0,8,A,Z,14.2,9.7,12.2,281,7
62,AUDI,S7,MID-SIZE,4.0,8,A,Z,14.2,9.7,12.2,281,7
63,AUDI,S8,MID-SIZE,4.0,8,AS,Z,15.8,9.2,12.8,300,8
64,AUDI,SQ5,SUV - SMALL,3.0,6,AS,Z,14.9,10.1,12.7,292,8
65,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A,Z,10.4,7.6,9.1,209,6
66,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A,Z,10.4,7.6,9.1,209,6
67,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A,Z,11.5,8.8,10.3,237,6
68,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A,Z,11.5,8.8,10.3,237,6
69,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS,Z,16.3,9.8,13.4,314,8
70,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS,Z,18.8,11.5,15.5,356,8
71,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS,Z,17.4,10.2,14.2,332,8
72,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS,Z,20.0,12.2,16.5,380,8
73,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS,Z,20.0,12.2,16.5,380,8
74,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS,Z,20.3,11.9,16.5,388,8
76,BMW,320i,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,193,8
77,BMW,320i,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,200,6
78,BMW,320i xDRIVE,COMPACT,2.0,4,A,Z,10.2,7.0,8.8,202,8
79,BMW,328d xDRIVE,COMPACT,2.0,4,A,D,7.6,5.5,6.7,181,8
80,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A,D,7.6,5.5,6.7,181,8
81,BMW,328i,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,193,8
82,BMW,328i,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,200,6
83,BMW,328i xDRIVE,COMPACT,2.0,4,A,Z,10.6,7.2,9.1,209,8
84,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A,Z,10.6,7.2,9.1,209,8
85,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A,Z,10.6,7.2,9.1,209,8
86,BMW,335i,COMPACT,3.0,6,A,Z,11.4,7.3,9.6,221,8
87,BMW,335i,COMPACT,3.0,6,M,Z,11.8,7.9,10.0,230,6
88,BMW,335i xDRIVE,COMPACT,3.0,6,A,Z,11.7,7.8,9.9,228,8
89,BMW,335i xDRIVE,COMPACT,3.0,6,M,Z,11.9,8.3,10.3,237,6
90,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A,Z,11.9,8.0,10.1,232,8
91,BMW,428i COUPE,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,193,8
92,BMW,428i COUPE,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,200,6
93,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A,Z,10.6,7.2,9.1,209,8
94,BMW,435i COUPE,COMPACT,3.0,6,A,Z,11.4,7.3,9.6,221,8
95,BMW,435i COUPE,COMPACT,3.0,6,M,Z,11.8,7.9,10.0,230,6
96,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A,Z,11.7,7.8,9.9,228,8
97,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M,Z,11.9,8.3,10.3,237,6
98,BMW,528i,MID-SIZE,2.0,4,A,Z,10.2,7.0,8.8,202,8
99,BMW,528i xDRIVE,MID-SIZE,2.0,4,A,Z,10.6,7.2,9.1,209,8
100,BMW,535d xDRIVE,MID-SIZE,3.0,6,A,D,9.2,6.4,7.9,213,8
101,BMW,535i xDRIVE,MID-SIZE,3.0,6,A,Z,11.9,8.0,10.1,232,8
102,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A,Z,12.5,8.6,10.7,246,8
103,BMW,550i xDRIVE,MID-SIZE,4.4,8,A,Z,14.4,9.6,12.2,281,8
104,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8
105,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A,Z,11.9,8.0,10.1,232,8
106,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A,Z,15.0,9.8,12.7,292,8
107,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A,Z,14.4,9.6,12.2,281,8
108,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A,Z,15.0,9.8,12.7,292,8
109,BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A,Z,12.5,8.6,10.7,246,8
110,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8
111,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8
112,BMW,760Li,FULL-SIZE,6.0,12,A,Z,18.7,11.5,15.5,356,8
113,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A,Z,9.2,7.1,8.3,191,8
114,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A,Z,10.5,7.9,9.3,214,8
115,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A,Z,10.5,7.6,9.2,212,8
116,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8
117,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8
118,BMW,M5,MID-SIZE,4.4,8,AM,Z,17.3,11.5,14.7,338,7
119,BMW,M5,MID-SIZE,4.4,8,M,Z,16.2,10.9,13.8,317,6
120,BMW,M6,COMPACT,4.4,8,AM,Z,17.3,11.5,14.7,338,7
121,BMW,M6,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,317,6
122,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM,Z,17.3,11.5,14.7,338,7
123,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M,Z,16.2,10.9,13.8,317,6
124,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM,Z,17.3,11.5,14.7,338,7
125,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,317,6
126,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A,Z,10.6,7.2,9.1,209,8
127,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A,Z,13.2,8.9,11.3,260,6
128,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A,Z,11.2,8.5,10.0,230,8
129,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A,Z,12.6,9.1,11.0,253,8
130,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A,Z,12.9,8.8,11.1,255,8
