,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams_in_millions,months_since_released,mthly_streams
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,125,B,Major,80,89,83,31,0,8,4,141.3817,5,28.27634
1,LALA,Myke Towers,1,2023,3,23,1474,48,133716286,92,C#,Major,71,61,74,7,0,10,4,133.71629,9,14.85737
2,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,138,F,Major,51,32,53,17,0,31,6,140.00397,6,23.334
3,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,170,A,Major,55,58,72,11,0,11,15,800.84082,53,15.1102
4,WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,144,A,Minor,65,23,80,14,63,11,6,303.23632,7,43.31947
5,Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,141,C#,Major,92,66,58,19,0,8,24,183.70623,7,26.24375
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,148,F,Minor,67,83,76,48,0,8,3,725.98011,9,80.66446
7,Columbia,Quevedo,1,2023,7,7,714,43,58149378,100,F,Major,67,26,71,37,0,11,4,58.14938,5,11.62988
8,fukumean,Gunna,1,2023,5,15,1096,83,95217315,130,C#,Minor,85,22,62,12,0,28,9,95.21732,7,13.60247
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,170,D,Minor,81,56,48,21,0,8,33,553.63407,9,61.5149
10,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,83,F#,Minor,57,56,72,23,0,27,5,505.67144,8,63.20893
11,Super Shy,NewJeans,1,2023,7,7,422,55,58255150,150,F,Minor,78,52,82,18,0,15,7,58.25515,5,11.65103
12,Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,118,0,Major,71,65,68,6,0,3,7,1316.85572,11,119.71416
13,Daylight,David Kushner,1,2023,4,14,3528,98,387570742,130,D,Minor,51,32,43,83,0,9,3,387.57074,8,48.44634
14,As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,174,F#,Minor,52,66,73,34,0,31,6,2513.18849,21,119.67564
15,Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,89,G#,Major,64,43,73,5,17,16,4,1163.09365,12,96.92447
16,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,120,B,Minor,78,76,59,43,0,34,3,496.79569,10,49.67957
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,78,0,Major,44,14,9,96,0,10,3,30.54688,5,6.10938
18,Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,100,B,Major,86,67,66,14,0,12,16,335.22223,9,37.24691
